COMMAND;POSITION CE16 (mm);POSITION MLT (pts)
1270,52631578944;0;0
1276,31578947368;0;0
1282,05263157954;0;0
1287,78947368463;0;0
1293,57894736887;0;0
1299,31578947397;0;0
1305,10526315821;0;0
1310,8421052633;0;0
1316,57894736839;0;0
1322,36842105263;0;0
1328,10526315849;0;0
1333,84210526358;0;0
1339,63157894782;0;0
1345,36842105291;0;0
1351,15789473715;0;0
1356,89473684225;0;0
1362,63157894734;0;0
1368,42105263158;0;0
1374,15789473744;0;0
1379,89473684253;0;0
1385,68421052677;0;0
1391,42105263186;0;0
1397,2105263161;0;0
1402,94736842119;0;0
1408,68421052628;0;0
1414,47368421053;0;0
1420,21052631638;0;0
1425,94736842148;0;0
1431,73684210572;0;0
1437,47368421081;0;0
1443,26315789505;0;0
1449,00000000014;0;0
1454,73684210523;0;0
1460,52631578947;0;0
1466,26315789533;0;0
1472,00000000042;0;0
1477,78947368466;0;0
1483,52631578976;0;0
1489,315789474;0;0
1495,05263157909;0;0
1501,12499999996;0;0
1509,375;0;0
1517,55000000085;0;0
1525,7250000006;0;0
1533,97500000065;0;0
1542,1500000004;0;0
1550,40000000045;0;0
1558,5750000002;0;0
1566,74999999996;0;0
1575;0;0
1583,17500000085;0;0
1591,3500000006;0;0
1599,60000000065;0;0
1607,7750000004;0;0
1616,02500000045;0;0
1624,2000000002;0;0
1632,37499999996;0;0
1640,625;0;0
1648,80000000085;0;0
1656,9750000006;0;0
1665,22500000065;0;0
1673,4000000004;0;0
1681,65000000045;0;0
1689,8250000002;0;0
1697,99999999996;0;0
1706,25;0;0
1714,42500000085;0;0
1722,6000000006;0;0
1730,85000000065;0;0
1739,0250000004;0;0
1747,27500000045;0;0
1755,4500000002;0;0
1763,62499999996;0;0
1771,875;0;0
1780,05000000085;0;0
1788,2250000006;0;0
1796,47500000065;0;0
1804,6500000004;0;0
1812,90000000045;0;0
1821,0750000002;0;0
1829,24999999996;0;0
1837,5;0;0
1845,67500000085;0;0
1853,8500000006;0;0
1862,10000000065;0;0
1870,2750000004;0;0
1878,52500000045;0;0
1886,7000000002;0;0
1894,87499999996;0;0
1903,125;0;0
1911,30000000085;0;0
1919,4750000006;0;0
1927,72500000065;0;0
1935,9000000004;0;0
1944,15000000045;0;0
1952,3250000002;0;0
1960,49999999996;0;0
1968,75;0;0
1978,125;0;0
1987,5;0;0
1995,67500000085;0;0
2003,8500000006;0;0
2012,10000000065;0;0
2020,2750000004;0;0
2028,52500000045;0;0
2036,7000000002;0;0
2044,87499999996;0;0
2053,125;0;0
2061,30000000085;0;0
2069,4750000006;0;0
2077,72500000065;0;0
2085,9000000004;0;0
2094,15000000045;0;0
2102,3250000002;0;0
2110,49999999996;0;0
2118,75;0;0
2126,92500000085;0;0
2136,30000000085;0;0
2144,4750000006;0;0
2152,72500000065;0;0
2162,10000000065;0;0
2170,2750000004;0;0
2178,52500000045;0;0
2186,7000000002;0;0
2194,87499999996;0;0
2203,125;0;0
2211,30000000085;0;0
2219,4750000006;0;0
2227,72500000065;0;0
2235,9000000004;0;0
2244,15000000045;0;0
2257,75000000067;0;0
2284,99999999985;0;0
2312,5;0;0
2339,75000000282;0;0
2367,00000000201;0;0
2394,50000000215;0;0
2421,75000000134;0;0
2449,25000000148;0;0
2476,50000000067;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
2500;0;0
